Date,High,Low,avg
2016-11-24,9.579378032191064,9.14333801719165,9.361358024691357
2016-11-25,9.501516237639837,9.28440968828609,9.392962962962963
2016-11-26,9.416842355209111,9.288612190245436,9.352727272727273
2016-11-27,9.220964285354762,8.914123433943486,9.067543859649124
2016-11-28,8.930065108844904,8.738140019360227,8.834102564102565
2016-11-29,8.440378601676976,8.055006013707636,8.247692307692306
2016-11-30,8.815497806502494,8.556969725965041,8.686233766233768
2016-12-01,8.510307480509258,8.30359876949074,8.406953125
2016-12-02,7.9506189599269295,7.462502733194761,7.706560846560845
2016-12-03,8.081523640475734,7.908635089682996,7.9950793650793655
2016-12-04,7.682469486845464,7.4393047067029245,7.560887096774194
2016-12-05,7.255603213364202,6.72643760296233,6.991020408163266
2016-12-06,7.6848587117400315,6.813166422909878,7.249012567324955
2016-12-07,8.583596596920069,7.975226932491695,8.279411764705882
2016-12-08,8.726961149513254,8.338082328747614,8.532521739130434
2016-12-09,8.56374395811514,8.230827470456294,8.397285714285717
2016-12-10,8.42913485389501,8.157788223028069,8.293461538461539
2016-12-11,8.553416640641265,8.286583359358739,8.420000000000002
2016-12-12,8.597700546844086,8.39146611982258,8.494583333333333
2016-12-13,8.547815054992034,8.38218494500797,8.465000000000002
2016-12-14,8.414198216208908,8.255213548496974,8.33470588235294
2016-12-15,8.018789488048723,7.825947354056539,7.922368421052631
2016-12-16,7.868067697576397,7.6596246101159124,7.7638461538461545
2016-12-17,7.8347058823529405,7.611176470588235,7.722941176470588
2016-12-18,7.950758219725086,7.8795866078611185,7.915172413793102
2016-12-19,7.79108819931106,7.660706672483814,7.725897435897437
2016-12-20,7.7522851559505455,7.600022536357148,7.676153846153847
2016-12-21,7.937684025440813,7.7514068836500964,7.844545454545455
2016-12-22,7.647481016292424,7.538593197841349,7.593037107066887
2016-12-23,7.491895242869375,7.226701248358695,7.359298245614035
2016-12-24,7.330822070014845,7.269177929985155,7.3
2016-12-25,7.27096825217411,7.19424913913024,7.232608695652175
2016-12-26,7.379665905627693,7.233667427705642,7.3066666666666675
2016-12-27,7.325957173842574,7.185655729383233,7.255806451612903
2016-12-28,8.29329115432151,7.318303048577033,7.805797101449272
2016-12-29,8.474062122363918,8.316604544302749,8.395333333333333
2016-12-30,8.450458146634654,8.2238896794523,8.337173913043477
2016-12-31,8.38861809772234,8.060381902277658,8.224499999999999
2017-01-01,8.341599915218266,8.187542941924592,8.26457142857143
2017-01-02,8.509106542292464,8.290124226938303,8.399615384615384
2017-01-03,10.172069295872463,9.26934174707232,9.720705521472391
2017-01-04,11.581727886782833,10.777578235666148,11.17965306122449
2017-01-05,11.145633621682785,9.832904237325044,10.489268929503915
2017-01-06,10.214784260497318,9.605496375611196,9.910140318054257
2017-01-07,10.040262518170262,9.745451767544022,9.892857142857142
2017-01-08,10.202701513582333,9.893687375306556,10.048194444444444
2017-01-09,10.661464554604775,10.382182504218752,10.521823529411764
2017-01-10,10.695926996137263,10.478463247765177,10.58719512195122
2017-01-11,10.178528936553652,9.803724892768008,9.99112691466083
2017-01-12,10.024614485054558,9.689902024379409,9.857258254716983
2017-01-13,9.958106023542696,9.674218699704534,9.816162361623615
2017-01-14,9.990065716289811,9.652237314013215,9.821151515151513
2017-01-15,9.920924449438356,9.785169733387129,9.853047091412742
2017-01-16,9.818006173503887,9.617271604273894,9.71763888888889
2017-01-17,10.405291242162743,10.08188117163036,10.243586206896552
2017-01-18,10.305597359733806,10.066251379762,10.185924369747903
2017-01-19,10.55258912560799,10.386251454102156,10.469420289855073
2017-01-20,10.721666936148118,10.578618778137592,10.650142857142855
2017-01-21,10.917900456328544,10.798742900314808,10.858321678321676
2017-01-22,10.926832970246187,10.806088944111488,10.866460957178838
2017-01-23,10.754541858425728,10.692816632140314,10.723679245283021
2017-01-24,10.680030483163868,10.577495290032008,10.628762886597938
2017-01-25,10.61868200744887,10.52769087390706,10.573186440677965
2017-01-26,10.673847899858297,10.568235433475033,10.621041666666665
2017-01-27,10.685652154167434,10.552195947098388,10.618924050632911
2017-01-28,10.6433370238767,10.593214700261232,10.618275862068966
2017-01-29,10.560561301885425,10.503284851960728,10.531923076923077
2017-01-30,10.768953633893226,10.56446741873835,10.666710526315788
2017-01-31,10.794805218762114,10.643502473545581,10.719153846153848
2017-02-01,10.742746118129219,10.556751789820567,10.649748953974893
2017-02-02,10.958620693972263,10.759043539604383,10.858832116788323
2017-02-03,11.071473881365792,10.838680644020519,10.955077262693155
2017-02-04,11.389433367224731,11.265022078319825,11.327227722772278
2017-02-05,11.237188494352884,11.139725085894034,11.188456790123459
2017-02-06,11.328992431775655,11.262118679335464,11.29555555555556
2017-02-07,11.535323419644152,11.38952952153232,11.462426470588236
2017-02-08,11.598088605028149,11.30984861470279,11.45396860986547
2017-02-09,11.177533306711622,10.789323836145519,10.98342857142857
2017-02-10,11.305676807076718,10.993187821744243,11.14943231441048
2017-02-11,11.35671128188633,11.326253423996018,11.341482352941174
2017-02-12,11.419851961971018,11.371775945005725,11.395813953488371
2017-02-13,11.64978518238855,11.371706753095319,11.510745967741935
2017-02-14,12.97699101901921,12.09265933063114,12.534825174825174
2017-02-15,12.94924633435049,12.765097927944591,12.857172131147541
2017-02-16,12.931688476100064,12.798271841360254,12.864980158730159
2017-02-17,12.858772556337849,12.746463045756395,12.802617801047122
2017-02-18,12.91695689344924,12.848138163584983,12.882547528517112
2017-02-19,13.050572399220991,12.903877361544557,12.977224880382774
2017-02-20,12.804259193251406,12.500446689101535,12.65235294117647
2017-02-21,12.805141116510027,12.60596999460108,12.705555555555554
2017-02-22,12.779683705178057,12.587994866250517,12.683839285714287
2017-02-23,13.248528464583368,12.90755486874997,13.07804166666667
2017-02-24,13.243679675468632,13.006144885934882,13.124912280701757
2017-02-25,13.680343590573765,13.370395325682397,13.52536945812808
2017-02-26,14.792838064019977,13.864793994267822,14.3288160291439
2017-02-27,15.9137821940356,14.92003044212998,15.41690631808279
2017-02-28,16.522478202025912,15.704083312169667,16.11328075709779
2017-03-01,17.891063109253217,16.41138587033862,17.15122448979592
2017-03-02,19.756848226791426,18.356979219647485,19.056913723219456
2017-03-03,20.1286432105229,18.91292636876513,19.520784789644015
2017-03-04,19.337109297372923,18.388878868307547,18.862994082840235
2017-03-05,19.142841808731518,18.46376106208188,18.8033014354067
2017-03-06,20.160931292400065,19.54727963038713,19.854105461393598
2017-03-07,19.365960370923915,18.60678962907609,18.986375000000002
2017-03-08,17.7966671761201,16.513584320885894,17.155125748502996
2017-03-09,18.206617758314344,17.383457429655586,17.795037593984965
2017-03-10,19.271930523287516,18.030338023616224,18.65113427345187
2017-03-11,21.423812271386872,19.769098331523736,20.596455301455304
2017-03-12,25.717776089098106,22.680838334524832,24.19930721181147
2017-03-13,29.847884468812605,27.32118806817765,28.58453626849513
2017-03-14,29.138315315147455,28.282228163113412,28.710271739130434
2017-03-15,37.92736730310355,31.95272562041325,34.9400464617584
2017-03-16,46.755970198410644,40.37231208387164,43.56414114114114
2017-03-17,48.63546661323596,40.8801412299013,44.75780392156863
2017-03-18,39.8335851937957,34.59320005846821,37.213392626131956
2017-03-19,43.43027450046065,39.01416144600207,41.22221797323136
2017-03-20,44.57348408623993,41.799956773975126,43.18672043010753
